experience_level,employment_type,salary_in_usd,company_location,company_size,job_category
Entry-level,Full-time,133000,United States,M,Data Analysis
Entry-level,Full-time,58400,United States,M,Data Analysis
Entry-level,Full-time,115000,United States,M,Data Engineering
Entry-level,Full-time,87550,United States,M,Data Engineering
Executive,Full-time,209309,United States,M,Data Engineering
Executive,Full-time,168854,United States,M,Data Engineering
Entry-level,Full-time,133000,United States,M,Data Science and Research
Entry-level,Full-time,58400,United States,M,Data Science and Research
Senior,Full-time,269000,Canada,M,Data Science and Research
Senior,Full-time,165000,Canada,M,Data Science and Research
Senior,Full-time,245000,United States,M,Data Science and Research
Senior,Full-time,185000,United States,M,Data Science and Research
Senior,Full-time,333500,United States,M,Data Science and Research
Senior,Full-time,180000,United States,M,Data Science and Research
Senior,Full-time,195000,United States,M,Data Science and Research
Senior,Full-time,147500,United States,M,Data Science and Research
Entry-level,Full-time,187500,United States,M,Machine Learning and AI
Entry-level,Full-time,99500,United States,M,Machine Learning and AI
Senior,Full-time,126400,United States,M,Leadership and Management
Senior,Full-time,101100,United States,M,Leadership and Management
Senior,Full-time,167400,United States,M,Data Engineering
Senior,Full-time,116600,United States,M,Data Engineering
Senior,Full-time,126000,United States,M,Data Analysis
Senior,Full-time,87000,United States,M,Data Analysis
Senior,Full-time,152375,United States,M,Data Engineering
Senior,Full-time,94000,United States,M,Data Engineering
Senior,Full-time,100000,United Kingdom,M,Data Quality and Operations
Senior,Full-time,56250,United Kingdom,M,Data Quality and Operations
Senior,Full-time,276000,United States,M,Data Architecture and Modeling
Senior,Full-time,174000,United States,M,Data Architecture and Modeling
Entry-level,Full-time,113800,United States,M,Data Analysis
Entry-level,Full-time,74400,United States,M,Data Analysis
Senior,Full-time,333500,United States,M,Machine Learning and AI
Senior,Full-time,183000,United States,M,Machine Learning and AI
Senior,Full-time,260000,United States,M,Machine Learning and AI
Senior,Full-time,192000,United States,M,Machine Learning and AI
Entry-level,Full-time,158000,United States,M,Data Analysis
Entry-level,Full-time,105000,United States,M,Data Analysis
Senior,Full-time,148000,United States,M,Data Science and Research
Senior,Full-time,110000,United States,M,Data Science and Research
Mid-level,Full-time,128000,United States,M,Leadership and Management
Mid-level,Full-time,81500,United States,M,Leadership and Management
Senior,Full-time,115000,United States,M,Data Analysis
Senior,Full-time,75300,United States,M,Data Analysis
Mid-level,Full-time,140000,United States,M,Data Science and Research
Mid-level,Full-time,100000,United States,M,Data Science and Research
Mid-level,Full-time,240000,United States,M,Machine Learning and AI
Mid-level,Full-time,140000,United States,M,Machine Learning and AI
Mid-level,Full-time,222200,United States,L,Data Science and Research
Mid-level,Full-time,136000,United States,L,Data Science and Research
Mid-level,Full-time,187200,Canada,M,Data Science and Research
Mid-level,Full-time,100800,Canada,M,Data Science and Research
Senior,Full-time,153200,United States,M,Data Engineering
Senior,Full-time,102200,United States,M,Data Engineering
Senior,Full-time,240000,United States,M,Machine Learning and AI
Senior,Full-time,160000,United States,M,Machine Learning and AI
Mid-level,Full-time,105000,United States,M,Data Analysis
Mid-level,Full-time,77000,United States,M,Data Analysis
Senior,Full-time,207300,United States,M,Data Engineering
Senior,Full-time,119000,United States,M,Data Engineering
Mid-level,Full-time,160000,United States,M,Machine Learning and AI
Mid-level,Full-time,130000,United States,M,Machine Learning and AI
Senior,Full-time,155000,United States,M,Machine Learning and AI
Senior,Full-time,125000,United States,M,Machine Learning and AI
Executive,Full-time,265000,United States,M,Machine Learning and AI
Executive,Full-time,203800,United States,M,Machine Learning and AI
Senior,Full-time,135000,United States,M,Data Analysis
Senior,Full-time,105000,United States,M,Data Analysis
